ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-4.53881,4.79319,9.14465,0.82079,0.3036,1.55688,17210,2016-04-03 23:59:16:355
1.79326,2.63242,8.03853,1.80669,2.03998,2.76676,17310,2016-04-03 23:59:16:455
1.79326,2.63242,8.03853,1.80669,2.03998,2.76676,17409,2016-04-03 23:59:16:554
-0.29568,3.52367,7.53874,0.23116,1.68578,3.86478,17509,2016-04-03 23:59:16:654
3.37104,6.06751,6.64391,-0.79149,-0.20719,1.11054,17609,2016-04-03 23:59:16:754
-0.56383,3.25432,8.0529,-0.37737,-1.42053,0.21518,17709,2016-04-03 23:59:16:854
7.07786,2.11408,9.82281,1.48471,-1.62107,1.57925,17810,2016-04-03 23:59:16:955
4.72675,6.12497,7.03416,0.86713,-0.14088,-3.19366,17910,2016-04-03 23:59:17:055
4.72675,6.12497,7.03416,0.86713,-0.14088,-3.19366,18009,2016-04-03 23:59:17:154
2.17453,9.21708,5.98311,0.66952,0.49934,-0.457,18111,2016-04-03 23:59:17:256
2.46304,7.71831,5.97174,-0.02423,0.14994,0.30866,18209,2016-04-03 23:59:17:354
2.33794,8.10018,6.47272,-0.03915,0.07324,0.07031,18309,2016-04-03 23:59:17:454
2.33794,8.10018,6.47272,-0.03915,0.07324,0.07031,18409,2016-04-03 23:59:17:554
2.33794,8.10018,6.47272,-0.03915,0.07324,0.07031,18509,2016-04-03 23:59:17:654
2.91374,5.29717,5.22894,0.69668,0.49535,-0.26898,18610,2016-04-03 23:59:17:755
1.63763,8.27436,5.7796,0.05726,0.00186,-0.04794,18709,2016-04-03 23:59:17:854
1.6526,8.23605,5.14694,-0.11425,-0.0253,0.04181,18810,2016-04-03 23:59:17:955
1.68731,7.83742,6.0286,-0.11425,-0.0253,0.04181,18910,2016-04-03 23:59:18:055
2.04944,8.00322,5.04099,0.10892,-0.07031,-0.00932,19011,2016-04-03 23:59:18:156
1.78847,8.14747,5.26425,0.01917,-0.0221,-0.04314,19109,2016-04-03 23:59:18:254
1.91596,8.08462,5.40431,-0.06072,-0.02823,0.01944,19210,2016-04-03 23:59:18:355
1.97103,8.07864,5.48272,-0.06072,-0.02823,0.01944,19310,2016-04-03 23:59:18:455
1.86748,8.15166,5.57071,-0.01731,0.06099,-0.07643,19410,2016-04-03 23:59:18:555
1.86748,8.15166,5.57071,-0.03356,0.00692,-0.03196,19509,2016-04-03 23:59:18:654
1.8585,8.07026,5.38336,-0.01385,-0.02184,-0.01332,19609,2016-04-03 23:59:18:754
1.86089,8.20792,5.52283,0.11185,-0.04501,-0.0269,19710,2016-04-03 23:59:18:855
1.82857,8.16902,5.26066,0.04953,-0.00666,-0.03462,19810,2016-04-03 23:59:18:955
1.95726,8.19835,5.19003,0.04953,-0.00666,-0.03462,19910,2016-04-03 23:59:19:055
1.91716,8.11754,5.16908,-0.01997,-0.00107,-0.02131,20009,2016-04-03 23:59:19:154
1.90758,8.23725,5.32291,-0.01438,-0.00133,-0.02104,20109,2016-04-03 23:59:19:254
1.90758,8.23725,5.32291,-0.06631,-0.00266,-0.01518,20209,2016-04-03 23:59:19:354
1.901,8.15226,5.31214,-0.04261,-0.00293,-0.01385,20309,2016-04-03 23:59:19:454
1.96265,8.08881,5.33249,-0.04261,-0.00293,-0.01385,20409,2016-04-03 23:59:19:554
1.93272,8.12832,5.31513,-0.01758,0.00613,-0.02637,20510,2016-04-03 23:59:19:655
1.94708,8.10796,5.36481,-0.02743,-0.00399,-0.01731,20611,2016-04-03 23:59:19:756
1.9387,8.1325,5.30196,-8.0E-4,-0.00107,-0.02264,20710,2016-04-03 23:59:19:855
1.9387,8.1325,5.30196,-0.02823,-5.3E-4,-0.01305,20810,2016-04-03 23:59:19:955
1.91776,8.1343,5.55096,-0.01864,0.00559,-0.03409,20910,2016-04-03 23:59:20:055
1.93272,8.05469,5.39234,-0.02956,-0.01545,-0.01598,21011,2016-04-03 23:59:20:156
1.97641,8.08402,5.40431,-0.02956,-0.01545,-0.01598,21110,2016-04-03 23:59:20:255
1.90878,8.09599,5.37438,-0.01411,2.7E-4,-0.0277,21209,2016-04-03 23:59:20:354
1.9417,8.11156,5.36361,0.02104,-0.00719,-0.02663,21309,2016-04-03 23:59:20:454
1.9417,8.11156,5.36361,-0.00692,-0.0024,-0.02317,21409,2016-04-03 23:59:20:554
1.94409,8.07744,5.40072,0.02423,-0.00985,-0.0261,21510,2016-04-03 23:59:20:655
1.96504,8.10557,5.3265,0.02264,-0.00586,-0.02876,21610,2016-04-03 23:59:20:755
1.92673,8.10737,5.45878,0.02264,-0.00586,-0.02876,21709,2016-04-03 23:59:20:854
2.00514,8.09599,5.18824,0.08389,0.00879,-0.04714,21809,2016-04-03 23:59:20:954
1.92554,8.19775,5.22834,-0.01092,-0.00453,-0.02344,21914,2016-04-03 23:59:21:059
1.92554,8.19775,5.22834,0.00399,0.01997,-0.04155,22010,2016-04-03 23:59:21:155
1.84473,8.29411,4.95001,-0.24395,-0.04021,0.05193,22110,2016-04-03 23:59:21:255
1.9004,7.93678,5.64613,0.09241,-0.01598,-0.01598,22210,2016-04-03 23:59:21:355
1.96744,8.0116,5.20021,0.09241,-0.01598,-0.01598,22309,2016-04-03 23:59:21:454
1.92135,8.11515,5.25228,-0.00719,0.02823,-0.06471,22410,2016-04-03 23:59:21:555
1.98539,7.91942,5.31513,-0.09454,-0.00799,-8.0E-4,22510,2016-04-03 23:59:21:655
1.98539,7.91942,5.31513,-0.06525,0.02823,-0.04234,22609,2016-04-03 23:59:21:754
1.94289,8.14567,5.62338,-0.07004,0.00479,-0.02637,22710,2016-04-03 23:59:21:855
1.9836,7.84041,5.5342,0.07697,0.01305,-0.07137,22810,2016-04-03 23:59:21:955
1.72263,8.11934,5.50367,0.07697,0.01305,-0.07137,22910,2016-04-03 23:59:22:055
1.71545,7.95294,5.33727,0.01198,-0.00533,-0.04048,23009,2016-04-03 23:59:22:154
1.68672,8.10437,5.2852,0.00932,0.00826,-0.0482,23110,2016-04-03 23:59:22:255
1.68672,8.10437,5.2852,-0.00852,0.02423,-0.05246,23209,2016-04-03 23:59:22:354
1.52092,8.16423,5.25886,-0.14061,-0.02237,0.0237,23309,2016-04-03 23:59:22:454
1.76872,8.02417,5.59286,0.09401,-0.02983,0.00346,23410,2016-04-03 23:59:22:555
1.56461,8.08702,5.34326,0.09401,-0.02983,0.00346,23510,2016-04-03 23:59:22:655
1.80583,8.10737,5.22355,0.06312,-0.03089,0.00346,23609,2016-04-03 23:59:22:754
1.87765,8.0116,5.54617,-0.03329,-0.00826,0.01678,23709,2016-04-03 23:59:22:854
1.87765,8.0116,5.54617,0.07404,0.00799,-0.02157,23809,2016-04-03 23:59:22:954
1.91776,8.14807,5.35463,-0.01039,-0.00719,-0.0277,23909,2016-04-03 23:59:23:054
1.81002,8.12053,5.29358,-0.01039,-0.00719,-0.0277,24009,2016-04-03 23:59:23:154
1.83396,8.0942,5.52342,-0.03728,-0.00666,-0.01917,24110,2016-04-03 23:59:23:255
1.85251,8.10737,5.42287,-0.00959,0.0,-0.02157,24209,2016-04-03 23:59:23:354
1.80164,8.07624,5.38815,-0.02317,-0.00613,-0.00692,24309,2016-04-03 23:59:23:454
1.80164,8.07624,5.38815,-0.02317,-0.00613,-0.00692,24409,2016-04-03 23:59:23:554
